author_match_flag,site_id,mpa_name,year,sample_event,treatment_zone,lat,lon,dist_to_deep_water,ssta_freq,reef_exposure,x3a_exposure_exposed_and_semi_exposed,x3b_exposure_semi_exposed_and_sheltered,reef_slope,x4a_slope_flat_and_slope,x4b_slope_wall_and_slope,reef_type,x5a_type_patch_and_fringing,x5b_type_fringing_and_barrier,x5c_type_barrier_and_atoll,dist_mangroves,dist_fish_settl,dist_market,pollution_risk,monsoon_direction,biomass_ecological,biomass_fisheries,treated_mpa
matched,R005,Raja Ampat,2011,RH0260,USE,-0.36,130.32,1047.613921,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,6197.424081,3421.790157,117738.0804,Low,SE,161.757279,20.38167495,MPA site
matched,R011,Raja Ampat,2011,RH0262,USE,-0.3,130.28,0,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,3953.996741,7723.616415,128468.62,Low,NW,125.6854102,11.72278581,MPA site
matched,R012,Raja Ampat,2011,RH0261,USE,-0.32,130.25,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,42.174202,3777.267008,130008.51,Low,SE,0,2.353333835,MPA site
matched,R013,Raja Ampat,2011,RH0264,USE,-0.29,130.44,706.096297,13,Exposed,1,0,Slope,1,1,Fringing,1,1,0,189.385674,9104.307502,124174.51,Low,NW,128.3760271,58.18293593,MPA site
matched,R014,Raja Ampat,2011,RH0258,USE,-0.27,130.32,0,29,Exposed,1,0,Slope,1,1,Fringing,1,1,0,425.72488,4742.215071,129914.39,Low,SE,91.9307203,16.76983911,MPA site
matched,R4020,Raja Ampat,2012,RH0350,USE,-0.35,130.23,361.138458,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,440.47303900000003,4246.26,127128.9529,Low,SE,119.8794059,140.8799928,MPA site
matched,R4021,Raja Ampat,2012,RH0361,USE,-0.34,130.4,232.998474,25,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,783.504501,5374.430728,118584.62,Low,NW,28.11743532,18.05520365,MPA site
matched,R4022,Raja Ampat,2012,RH0362,USE,-0.32,130.38,207.41509,26,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,0,2321.454297,122134.94,Low,SE,96.89416372,35.93898221,MPA site
matched,R4023,Raja Ampat,2012,RH0365,USE,-0.36,130.32,1047.613921,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,6197.424081,3421.790157,121328.15,Low,NW,485.053245,192.4059774,MPA site
matched,R4024,Raja Ampat,2012,RH0353,USE,-0.37,130.32,1671.085158,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,7049.119653,4068.06974,117215.4314,Low,NW,139.6166324,93.0330526,MPA site
matched,R4025,Raja Ampat,2012,RH0366,USE,-0.37,130.29,946.165506,28,Exposed,1,0,Slope,1,1,Fringing,1,1,0,7135.055498,5868.44,120174.5701,Low,SE,147.26867,126.7216291,MPA site
matched,R4026,Raja Ampat,2012,RH0354,USE,-0.37,130.27,0,29,Exposed,1,0,Slope,1,1,Fringing,1,1,0,5252.733801,2976.48926,122158.1895,Low,NW,91.97413325,88.43911107,MPA site
matched,L017,Raja Ampat,2012,RH0324,USE,-0.25,130.29,0,19,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1626.729721,9960.32,135953.74,Medium,SE,1004.071442,56.25644149,MPA site
matched,R4015,Raja Ampat,2012,RH0348,NTZ,-0.35,130.22,1047.12884,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,277.733078,5040.85,128123.9192,Low,SE,272.8425497,79.3541091,MPA site
matched,R4019,Raja Ampat,2012,RH0352,NTZ,-0.35,130.22,1047.12884,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,277.733078,5010.54,128123.9192,Low,NW,293.2559034,265.0183478,MPA site
dropped,2213,Kofiau-Boo,2010,KF0044,NTZ,-1.23,129.65,789.764115,26,Exposed,1,0,Wall,0,1,Fringing,1,1,0,3772.919659,92690.61,187480.24,Low,SE,72.91900193,59.19111205,MPA site
matched,2204,Kofiau-Boo,2010,KF0034,USE,-1.16,129.93,0,20,Exposed,1,0,Slope,1,1,Fringing,1,1,0,11953.76,67776.53739,151396,Low,SE,30.96658149,66.50898547,MPA site
matched,2205,Kofiau-Boo,2010,KF0062,USE,-1.17,129.97,0,29,Exposed,1,0,Slope,1,1,Fringing,1,1,0,7001.49,66120.59786,147540.52,Low,SE,261.5129372,164.6736415,MPA site
matched,2206,Kofiau-Boo,2010,KF0035,NTZ,-1.18,129.97,0,29,Exposed,1,0,Slope,1,1,Fringing,1,1,0,4557.09,67047.57772,147922.96,Low,NW,23.15010472,102.3230848,MPA site
matched,2207,Kofiau-Boo,2010,KF0036,NTZ,-1.2,129.94,0,12,Exposed,1,0,Slope,1,1,Fringing,1,1,0,452.812594,71403.65,151835.41,Low,NW,45.77389909,115.7428804,MPA site
matched,2208,Kofiau-Boo,2010,KF0037,USE,-1.21,129.9,0,16,Exposed,1,0,Slope,1,1,Fringing,1,1,0,635.32365,77399.14,157742.6,Low,NW,63.5210632,194.1483353,MPA site
matched,2209,Kofiau-Boo,2010,KF0040,USE,-1.25,129.83,292.927156,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,6.369335,85309.15,165377.26,Low,NW,89.57002806,82.82499865,MPA site
matched,2212,Kofiau-Boo,2010,KF0043,NTZ,-1.28,129.66,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,554.816658,99360.56,182756.66,Low,NW,51.85457197,138.5138125,MPA site
matched,2217,Kofiau-Boo,2010,KF0049,NTZ,-1.26,129.66,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,505.303629,95546.61,186969.06,Low,SE,497.3186542,57.96681118,MPA site
matched,2225,Kofiau-Boo,2010,KF0055,USE,-1.18,129.48,0,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,3453.21,95288.77,200006.6302,Low,NW,144.4547918,230.7807441,MPA site
matched,2226,Kofiau-Boo,2010,KF0052,USE,-1.17,129.45,1579.209218,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,0,96089.04,203109.9333,Low,SE,68.20537946,40.55640599,MPA site
matched,2227,Kofiau-Boo,2010,KF0056,USE,-1.15,129.44,89.514903,31,Exposed,1,0,Slope,1,1,Fringing,1,1,0,2466.67,94842.31,203856.908,Low,SE,538.3793897,64.90885165,MPA site
matched,2228,Kofiau-Boo,2010,KF0054,USE,-1.15,129.42,0,30,Exposed,1,0,Slope,1,1,Fringing,1,1,0,508.522295,96109.43,206056.0298,Low,SE,305.1377161,99.21216045,MPA site
matched,2229,Kofiau-Boo,2010,KF0058,NTZ,-1.16,129.37,0,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1259.73457,100315.32,211722.2203,Low,SE,63.28028277,19.20228709,MPA site
matched,2230,Kofiau-Boo,2010,KF0061,NTZ,-1.16,129.35,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,23.776444,101693.01,213921.4743,Low,SE,160.715868,49.99207545,MPA site
matched,2231,Kofiau-Boo,2010,KF0060,NTZ,-1.15,129.32,1050.829814,28,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1737.67914,102972.77,217059.5424,Low,SE,138.1978496,50.21426321,MPA site
matched,2232,Kofiau-Boo,2010,KF0059,NTZ,-1.18,129.3,0,26,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1833.62,106987.02,221297.67,Low,SE,214.8787179,226.2580992,MPA site
matched,2237,Kofiau-Boo,2010,KF0038,USE,-1.23,129.88,0,19,Exposed,1,0,Slope,1,1,Fringing,1,1,0,187.592008,79532.23,157676.793,Low,NW,191.6499068,192.1646603,MPA site
matched,2238,Kofiau-Boo,2010,KF0039,USE,-1.24,129.86,503.475456,9,Exposed,1,0,Slope,1,1,Fringing,1,1,0,26.722395,82161.5,160110.8462,Low,NW,78.66916346,119.6260872,MPA site
dropped,4310,Misool,2011,MS0096,USE,-2.01,130.62,1661.622103,26,Semi-exposed,1,1,Wall,0,1,Fringing,1,1,0,531.972163,37826.44,188601.24,Low,NW,109.1547369,118.4383111,MPA site
dropped,4315,Misool,2011,MS0080,NTZ,-2.25,130.6,220.939933,27,Exposed,1,0,Wall,0,1,Fringing,1,1,0,11797.59,49387.74,217410.94,Low,NW,175.6609069,276.4274115,MPA site
dropped,4319,Misool,2011,MS0071,USE,-2.17,130.46,9.263131,22,Semi-exposed,1,1,Wall,0,1,Fringing,1,1,0,3866.55,25854.60453,219923.47,Low,SE,77.26635984,45.07431609,MPA site
dropped,4322,Misool,2011,MS0062,USE,-2.15,130.2,0,27,Exposed,1,0,Wall,0,1,Fringing,1,1,0,7658.65,21287.94,247095.29,Low,NW,108.2643611,147.8592325,MPA site
dropped,4329,Misool,2011,MS0085,NTZ,-2.19,130.6,621.834928,27,Semi-exposed,1,1,Wall,0,1,Fringing,1,1,0,1421.713828,43659.29,211380.85,Low,SE,298.8774362,114.5858408,MPA site
dropped,4330,Misool,2011,MS0077,NTZ,-2.22,130.54,0,28,Semi-exposed,1,1,Wall,0,1,Fringing,1,1,0,8009.153088,38253.45,217893.79,Low,SE,40.39471101,22.81287353,MPA site
matched,4306,Misool,2011,MS0099,USE,-2,130.57,2513.249062,28,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,64.382293,32617.98,187721.29,Low,NW,82.17927262,63.82258378,MPA site
matched,4316,Misool,2011,MS0078,NTZ,-2.25,130.59,0,27,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,12870.67,48274.55,217410.94,Low,SE,94.24017121,41.13735804,MPA site
matched,4317,Misool,2011,MS0076,NTZ,-2.23,130.52,0,29,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,10570.67,39579.79,220166.54,Low,NW,259.4689109,74.16892319,MPA site
matched,4318,Misool,2011,MS0072,USE,-2.17,130.46,9.263131,22,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,3866.55,25854.60453,220913.9,Low,NW,193.7306148,28.14495995,MPA site
matched,4321,Misool,2011,MS0063,USE,-2.14,130.22,0,27,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,8905.69,18852.48,247095.29,Low,SE,109.1701319,99.64316314,MPA site
matched,4324,Misool,2011,MS0069,NTZ,-2.2,130.22,0,28,Exposed,1,0,Slope,1,1,Fringing,1,1,0,1101.312023,26771.31,247998.74,Low,NW,152.3406614,71.19491815,MPA site
matched,4325,Misool,2011,MS0064,USE,-2.18,130.25,878.409511,28,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,6119.41,21218.08,244317.49,Low,SE,41.88866475,41.78006871,MPA site
matched,4326,Misool,2011,MS0070,USE,-2.22,130.43,0,20,Exposed,1,0,Slope,1,1,Fringing,1,1,0,12483.71,29464.39,227408.38,Low,NW,60.48848186,20.93940003,MPA site
matched,4328,Misool,2011,MS0074,NTZ,-2.23,130.48,413.289051,20,Exposed,1,0,Slope,1,1,Fringing,1,1,0,8999.3,35026.91,223262.03,Low,NW,659.4089302,369.5863146,MPA site
matched,4332,Misool,2011,MS0088,NTZ,-2.15,130.92,993.5118,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,303.818602,78042.25,207705.23,Low,SE,489.6345755,841.2757152,MPA site
matched,4333,Misool,2011,MS0089,NTZ,-2.15,130.91,250.632364,24,Exposed,1,0,Slope,1,1,Fringing,1,1,0,85.160191,76929.06,207460.54,Low,SE,1361.72796,456.2183441,MPA site
matched,4334,Misool,2011,MS0086,NTZ,-2.17,130.93,59.51914,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,123.359857,75499.63,210126.92,Low,NW,248.4411421,404.8448806,MPA site
matched,4335,Misool,2011,MS0090,NTZ,-2.15,130.9,499.429355,24,Exposed,1,0,Slope,1,1,Fringing,1,1,0,122.844499,71767.85,207224.34,Low,NW,640.4928786,101.3078835,MPA site
matched,4337,Misool,2011,MS0093,NTZ,-2.03,130.77,341.534962,25,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,1122.06,55657.65,191660.28,Low,SE,197.3022124,102.981434,MPA site
matched,4338,Misool,2011,MS0094,USE,-2.03,130.68,369.990054,24,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,132.335587,45698.45,190889.31,Low,NW,199.3380376,44.30388071,MPA site
matched,4381,Misool,2011,MS0066,USE,-2.2,130.24,0,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,596.556942,32596.49,247820.25,Low,NW,456.9907449,151.9319763,MPA site
matched,4383,Misool,2011,MS0061,NTZ,-2.13,130.12,0,27,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,7965.68,26611.03,255714.04,Low,SE,424.5520663,111.298117,MPA site
matched,4395,Misool,2011,MS0082,NTZ,-2.26,130.58,408.772708,26,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,10899.41,46734.62,222879.14,Low,NW,882.1521365,1560.640295,MPA site
dropped,M003,Mayalibit,2012,RH0274,NTZ,-0.4,131.07,664.244452,29,Exposed,1,0,Wall,0,1,Barrier,0,1,1,7246.12,7222.985569,55406.7801,Medium,NW,3949.894619,45.72327551,MPA site
matched,M002,Mayalibit,2012,RH0282,NTZ,-0.41,131.01,696.523958,25,Exposed,1,0,Slope,1,1,Barrier,0,1,1,6872.68,8433.329407,57176.69719,Medium,NW,12.63186718,6.939031333,MPA site
matched,M004,Mayalibit,2012,RH0286,USE,-0.44,130.9,176.928145,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3194.514662,9060.258863,61229.739,Medium,NW,72.09839233,26.15802434,MPA site
matched,M005,Mayalibit,2012,RH0288,NTZ,-0.42,130.93,1505.306761,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3224.695786,8675.240701,60941.05462,Medium,NW,0,70.88094927,MPA site
matched,M008,Mayalibit,2012,RH0276,USE,-0.34,131.06,2118.908503,23,Exposed,1,0,Slope,1,1,Fringing,1,1,0,2585.31,494.913655,62011.5156,Medium,NW,16.37752657,39.51664286,MPA site
matched,M012,Mayalibit,2012,RH0340,USE,-0.39,131.09,758.334747,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,7558.37,6932.777606,55687.85475,Medium,NW,66.17479611,241.7716106,MPA site
matched,M013,Mayalibit,2012,RH0337,USE,-0.38,131.09,836.197391,29,Exposed,1,0,Slope,1,1,Barrier,0,1,1,6919.92,5998.909224,56736.93251,Medium,NW,1154.935876,738.6408733,MPA site
matched,M014,Mayalibit,2012,RH0341,USE,-0.4,131.04,96.577453,27,Exposed,1,0,Slope,1,1,Barrier,0,1,1,6366.779901,7426.032761,56700.16843,Medium,NW,189.6345169,171.3627327,MPA site
matched,M015,Mayalibit,2012,RH0345,USE,-0.41,130.97,847.902231,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,4921.000599,6733.123263,59388.21252,Medium,NW,48.47048572,384.7091381,MPA site
matched,M016,Mayalibit,2012,RH0343,NTZ,-0.41,130.94,1382.503669,32,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3005.603076,7213.045816,61207.23054,Medium,NW,203.7799845,139.4835501,MPA site
matched,M017,Mayalibit,2012,RH0347,NTZ,-0.42,130.93,1505.306761,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3224.695786,8675.240701,60941.05462,Medium,NW,195.2897405,57.31268491,MPA site
matched,M006,Mayalibit,2012,RH0278,NTZ,-0.36,130.94,6256.940406,5,Exposed,1,0,Slope,1,1,Fringing,1,1,0,0,2917.073702,65848.21359,High,NW,0,55.26178522,MPA site
matched,L003,Control,2011,RH0213,Control,-0.4,131.26,0,24,Exposed,1,0,Slope,1,1,Fringing,1,1,0,4075.94,23486.71391,51669.97484,Medium,NW,53.08070092,1.852201007,Control (non‑MPA)
matched,L004,Control,2011,RH0215,Control,-0.4,131.25,0,23,Exposed,1,0,Slope,1,1,Fringing,1,1,0,3804.89,22428.03408,51657.79577,Medium,NW,5.414888365,120.081201,Control (non‑MPA)
matched,L007,Control,2012,RH0314,Control,-0.43,130.49,362.369782,31,Exposed,1,0,Slope,1,1,Fringing,1,1,0,222.189934,7392.726307,113280.09,Low,SE,70.43841639,0.380238801,Control (non‑MPA)
matched,L009,Control,2012,RH0316,Control,-0.32,130.13,0,34,Exposed,1,0,Slope,1,1,Fringing,1,1,0,7206.5,11306.8,138575.8906,Low,SE,64.2055843,23.7972825,Control (non‑MPA)
matched,L010,Control,2012,RH0317,Control,-0.3,130.21,1916.158631,25,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,1241.329031,3581.664097,149743.82,Low,SE,172.4250308,254.3870385,Control (non‑MPA)
matched,L011,Control,2012,RH0318,Control,-0.16,130.23,1104.389459,25,Exposed,1,0,Slope,1,1,Fringing,1,1,0,2394.875265,8011.27,161568.01,Low,SE,3428.297625,43.42913359,Control (non‑MPA)
matched,L012,Control,2012,RH0319,Control,-0.09,130.29,0,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,4332.29,4522.4,171831.16,Low,SE,565.0591008,200.4323144,Control (non‑MPA)
matched,L013,Control,2012,RH0320,Control,0,130.18,0,29,Exposed,1,0,Slope,1,1,Fringing,1,1,0,5942.78,18485.04996,180155.54,Low,NW,231.9163602,46.96233326,Control (non‑MPA)
matched,L014,Control,2012,RH0321,Control,0,130.13,798.288515,31,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,944.808375,22614.21418,185721.51,Low,SE,112.2856577,29.84549279,Control (non‑MPA)
matched,L015,Control,2012,RH0322,Control,-0.07,130.09,89.908728,13,Exposed,1,0,Slope,1,1,Fringing,1,1,0,9337.92,20979.73894,168543.68,Medium,SE,209.5873903,37.28403168,Control (non‑MPA)
matched,L016,Control,2012,RH0323,Control,-0.14,130.12,0,27,Exposed,1,0,Slope,1,1,Fringing,1,1,0,8050.99,13499.33426,160065.84,Low,NW,148.770453,37.95313715,Control (non‑MPA)
matched,L018,Control,2012,RH0325,Control,-0.91,130.49,33.124728,11,Exposed,1,0,Flat,1,0,Fringing,1,1,0,3052.616277,20601.55626,84738.56274,Medium,SE,113.4684964,25.56589173,Control (non‑MPA)
matched,L020,Control,2012,RH0327,Control,-0.92,130.54,0,16,Exposed,1,0,Flat,1,0,Fringing,1,1,0,856.180029,14933.7295,79256.8978,Medium,SE,666.3432336,36.17901157,Control (non‑MPA)
matched,L021,Control,2012,RH0328,Control,-0.84,131.21,2732.448498,37,Exposed,1,0,Flat,1,0,Fringing,1,1,0,360.17375,13710.95254,5362.566602,Medium,SE,25.11803028,0.112868547,Control (non‑MPA)
matched,R4001,Control,2012,RH0334,Control,-0.48,130.84,155.26097,27,Exposed,1,0,Slope,1,1,Barrier,0,1,1,5557.647762,6480.146271,62577.23057,Medium,NW,67.80269378,167.6655792,Control (non‑MPA)
matched,R4002,Control,2012,RH0332,Control,-0.47,130.85,0,27,Exposed,1,0,Slope,1,1,Barrier,0,1,1,4874.632902,5996.059164,62541.43412,Medium,NW,102.7429593,486.1838794,Control (non‑MPA)
matched,R4003,Control,2012,RH0333,Control,-0.46,130.87,0,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,4420.300665,6781.815708,61777.40284,Medium,NW,395.9226184,228.509916,Control (non‑MPA)
matched,R4004,Control,2012,RH0335,Control,-0.45,130.88,564.379428,28,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3315.028731,7230.630603,61840.91295,Medium,NW,204.7542887,44.64907023,Control (non‑MPA)
matched,R4013,Control,2012,RH0339,Control,-0.4,131.2,932.080422,25,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3619.130122,17238.85745,51956.08698,Medium,NW,42.06664113,44.91178425,Control (non‑MPA)
matched,R4014,Control,2012,RH0336,Control,-0.4,131.2,932.080422,25,Exposed,1,0,Slope,1,1,Barrier,0,1,1,3619.130122,17238.85745,51956.08698,Medium,NW,184.7886961,206.3891092,Control (non‑MPA)
matched,R4017,Control,2012,RH0351,Control,-0.29,130.23,798.40923,25,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,122.910077,6697.68,130248.1321,Low,NW,312.0585441,86.1302022,Control (non‑MPA)
matched,R4034,Control,2012,RH0374,Control,-0.64,130.29,0,23,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,2115.97,3024.56,109776.2176,Low,SE,123.9008501,14.39945814,Control (non‑MPA)
matched,R4036,Control,2012,RH0375,Control,-0.69,130.28,0,21,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,9.263414,3215.19,109739.5695,Low,NW,134.271484,50.03806097,Control (non‑MPA)
matched,R4037,Control,2012,RH0378,Control,-0.73,130.16,0,22,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,14690.78,17851.23,122276.2807,Low,SE,31.17983189,43.94305185,Control (non‑MPA)
matched,R4046,Control,2012,RH0387,Control,-1.64,129.91,965.104868,28,Exposed,1,0,Slope,1,1,Fringing,1,1,0,0,110800.9,181688.62,Low,SE,71.26471376,18.47141422,Control (non‑MPA)
matched,R4048,Control,2012,RH0385,Control,-1.67,129.87,736.17744,25,Semi-exposed,1,1,Slope,1,1,Fringing,1,1,0,0,105234.1,187353.79,Low,SE,33.68143984,56.04821954,Control (non‑MPA)
